"ID";"PLI_mean_theta";"Lw_theta";"Lw_mean_theta";"Lw_normalized_theta";"Cw_theta";"Cw_mean_theta";"Cw_normalized_theta";"PLI_mean_alpha";"Lw_alpha";"Lw_mean_alpha";"Lw_normalized_alpha";"Cw_alpha";"Cw_mean_alpha";"Cw_normalized_alpha";"PLI_mean_alpha_1";"Lw_alpha_1";"Lw_mean_alpha_1";"Lw_normalized_alpha_1";"Cw_alpha_1";"Cw_mean_alpha_1";"Cw_normalized_alpha_1";"PLI_mean_alpha_2";"Lw_alpha_2";"Lw_mean_alpha_2";"Lw_normalized_alpha_2";"Cw_alpha_2";"Cw_mean_alpha_2";"Cw_normalized_alpha_2";"PLI_mean_beta_1";"Lw_beta_1";"Lw_mean_beta_1";"Lw_normalized_beta_1";"Cw_beta_1";"Cw_mean_beta_1";"Cw_normalized_beta_1";"PLI_mean_beta_2";"Lw_beta_2";"Lw_mean_beta_2";"Lw_normalized_beta_2";"Cw_beta_2";"Cw_mean_beta_2";"Cw_normalized_beta_2";"pcrvtot";"pure_IQ"
1114;0,515519;1,96612;1,84322;1,06668;0,533417;0,513447;1,03889;0,71664;1,40421;1,39471;1,00681;0,735573;0,71691;1,02603;0,747409;1,34517;1,34257;1,00193;0,759963;0,747076;1,01725;0,624753;1,61604;1,59613;1,01247;0,640011;0,623627;1,02627;0,450588;2,22876;2,02633;1,0999;0,469475;0,44748;1,04915;0,384522;2,59815;2,31457;1,12252;0,396653;0,380042;1,04371;17;1,70998771647549
1116;0,441499;2,31118;2,15964;1,07017;0,444946;0,43692;1,01837;0,430561;2,37119;2,18883;1,08331;0,435443;0,42587;1,02248;0,512748;1,98014;1,95866;1,01097;0,510786;0,508388;1,00472;0,476574;2,13554;2,07632;1,02852;0,476979;0,472089;1,01036;0,375631;2,70487;2,36504;1,14369;0,385253;0,370656;1,03938;0,364351;2,76437;2,39032;1,15649;0,376541;0,359548;1,04726;17;-0,617376861992009
1120;0,491963;2,0658;1,96598;1,05078;0,50518;0,489777;1,03145;0,627255;1,60943;1,56921;1,02563;0,652664;0,627818;1,03958;0,649124;1,55387;1,54632;1,00488;0,663682;0,648485;1,02343;0,62408;1,61783;1,59516;1,01421;0,643497;0,623578;1,03194;0,430407;2,33817;2,14642;1,08934;0,445484;0,427547;1,04195;0,378352;2,63406;2,39271;1,10087;0,390687;0,37478;1,04244;18;0,964464282624866
1127;0,433375;2,35486;2,23124;1,0554;0,43188;0,428019;1,00902;0,566574;1,78668;1,74832;1,02194;0,581916;0,56567;1,02872;0,611798;1,65116;1,6443;1,00417;0,616894;0,609905;1,01146;0,542075;1,86984;1,84342;1,01433;0,548998;0,539231;1,01811;0,376873;2,67882;2,43977;1,09798;0,378462;0,37127;1,01937;0,350203;2,83086;2,5415;1,11385;0,358473;0,345311;1,03812;12;-3,29001228352451
1129;0,432216;2,36239;2,23436;1,0573;0,436024;0,427798;1,01923;0,427018;2,38736;2,209;1,08074;0,434855;0,42263;1,02893;0,506925;2,00361;1,98751;1,0081;0,504752;0,502699;1,00408;0,477312;2,13213;2,07467;1,0277;0,480453;0,473093;1,01556;0,411028;2,44841;2,21777;1,104;0,423386;0,406383;1,04184;0,36539;2,72413;2,42543;1,12315;0,377256;0,360628;1,04611;7;-6,54448884967388
1134;0,390478;2,62566;2,50497;1,04818;0,38746;0,385088;1,00616;0,441638;2,31067;2,23201;1,03524;0,4412;0,437039;1,00952;0,516528;1,9652;1,9533;1,00609;0,513225;0,512319;1,00177;0,477585;2,13087;2,10339;1,01307;0,475325;0,472991;1,00493;0,354394;2,87117;2,60894;1,10051;0,354233;0,348804;1,01556;0,323482;3,09963;2,76401;1,12142;0,325267;0,317447;1,02463;15;-3,19921800660889
1135;0,421104;2,42721;2,31618;1,04794;0,418746;0,415782;1,00713;0,447341;2,27989;2,192;1,04009;0,445067;0,442124;1,00666;0,516645;1,96474;1,95222;1,00642;0,511019;0,511848;0,99838;0,488311;2,08251;2,05846;1,01168;0,485119;0,483667;1,003;0,36267;2,7983;2,55203;1,0965;0,365115;0,3571;1,02245;0,3399;2,95892;2,65496;1,11449;0,344858;0,334568;1,03076;14;-2,45369457275826
1136;0,420775;2,42904;2,31669;1,04849;0,418957;0,415455;1,00843;0,456397;2,23325;2,14149;1,04285;0,458308;0,451702;1,01462;0,526441;1,92707;1,91489;1,00636;0,523319;0,522153;1,00223;0,505865;2,00795;1,98914;1,00946;0,504684;0,50174;1,00587;0,368163;2,74988;2,53266;1,08577;0,369827;0,362892;1,01911;0,356267;2,81649;2,57287;1,09468;0,360713;0,351258;1,02692;16;-2,78105915122576
1139;0,541962;1,87022;1,80995;1,0333;0,557925;0,540134;1,03294;0,532186;1,90527;1,82266;1,04532;0,552416;0,531314;1,03972;0,597575;1,69151;1,68014;1,00677;0,607281;0,595814;1,01925;0,524723;1,93357;1,89418;1,02079;0,535439;0,522512;1,02474;0,402291;2,52153;2,31518;1,08913;0,41271;0,399013;1,03433;0,343856;2,92784;2,62723;1,11442;0,349632;0,339412;1,03011;23;5,38262313800799
1140;0,484995;2,0978;2,0471;1,02477;0,486706;0,48123;1,01138;0,457946;2,22547;2,14214;1,0389;0,456237;0,453229;1,00664;0,53252;1,90483;1,89315;1,00617;0,528209;0,52823;0,999961;0,473948;2,1484;2,1112;1,01762;0,470334;0,469171;1,00248;0,382011;2,63535;2,42178;1,08818;0,382988;0,376596;1,01697;0,376024;2,62346;2,38018;1,10221;0,387419;0,372636;1,03967;18;-0,781059151225762
1145;0,43927;2,32356;2,2372;1,0386;0,442683;0,435453;1,0166;0,408066;2,50458;2,34325;1,06885;0,413846;0,404467;1,02319;0,502141;2,02331;2,01024;1,0065;0,499537;0,497823;1,00344;0,450759;2,26223;2,21438;1,02161;0,451011;0,446755;1,00953;0,381947;2,66171;2,43984;1,09094;0,389335;0,378766;1,0279;0,348446;2,88072;2,60668;1,10513;0,35569;0,344564;1,03229;8;-8,45369457275826
