"ID";"PLI_mean_theta";"Lw_theta";"Lw_mean_theta";"Lw_normalized_theta";"Cw_theta";"Cw_mean_theta";"Cw_normalized_theta";"PLI_mean_alpha";"Lw_alpha";"Lw_mean_alpha";"Lw_normalized_alpha";"Cw_alpha";"Cw_mean_alpha";"Cw_normalized_alpha";"PLI_mean_alpha_1";"Lw_alpha_1";"Lw_mean_alpha_1";"Lw_normalized_alpha_1";"Cw_alpha_1";"Cw_mean_alpha_1";"Cw_normalized_alpha_1";"PLI_mean_alpha_2";"Lw_alpha_2";"Lw_mean_alpha_2";"Lw_normalized_alpha_2";"Cw_alpha_2";"Cw_mean_alpha_2";"Cw_normalized_alpha_2";"PLI_mean_beta_1";"Lw_beta_1";"Lw_mean_beta_1";"Lw_normalized_beta_1";"Cw_beta_1";"Cw_mean_beta_1";"Cw_normalized_beta_1";"PLI_mean_beta_2";"Lw_beta_2";"Lw_mean_beta_2";"Lw_normalized_beta_2";"Cw_beta_2";"Cw_mean_beta_2";"Cw_normalized_beta_2";"pcrvtot";"pure_IQ"
1111;0,431357;2,36721;2,25463;1,04993;0,428104;0,426046;1,00483;0,454575;2,24205;2,15087;1,0424;0,45213;0,449548;1,00574;0,507274;2,00219;1,98623;1,00804;0,501203;0,502566;0,997287;0,504824;2,01222;1,98605;1,01317;0,501325;0,50028;1,00209;0,394927;2,5487;2,33452;1,09175;0,397262;0,389956;1,01874;0,342127;2,9361;2,63976;1,11226;0,342292;0,336534;1,01711;21;2,21894084877425
1112;0,415582;2,46053;2,34147;1,05085;0,412401;0,410106;1,0056;0,430847;2,37025;2,25799;1,04972;0,428719;0,425266;1,00812;0,49382;2,05852;2,04021;1,00898;0,4879;0,488828;0,998102;0,483121;2,10563;2,0739;1,0153;0,479189;0,478368;1,00172;0,40262;2,52758;2,32143;1,0888;0,405054;0,397592;1,01877;0,341961;2,92575;2,61068;1,12068;0,342037;0,335497;1,01949;22;4,38262313800799
1113;0,471228;2,15719;2,01465;1,07075;0,484351;0,468959;1,03282;0,582537;1,73638;1,71572;1,01205;0,594393;0,580863;1,02329;0,641473;1,57287;1,56761;1,00336;0,647364;0,63952;1,01226;0,55992;1,80853;1,78374;1,0139;0,568873;0,55766;1,02011;0,431924;2,32953;2,11214;1,10292;0,447612;0,429156;1,043;0,38475;2,57567;2,29457;1,12251;0,398771;0,38118;1,04615;15;-2,03553571737513
1114;0,47438;2,14545;2,03162;1,05603;0,483455;0,471162;1,02609;0,478448;2,12675;2,04594;1,0395;0,47934;0,473834;1,01162;0,558988;1,81164;1,80151;1,00562;0,555827;0,555068;1,00137;0,504814;2,01226;1,97336;1,01971;0,50417;0,500388;1,00756;0,398592;2,52967;2,29267;1,10337;0,406081;0,393715;1,03141;0,361187;2,75711;2,46179;1,11996;0,367306;0,355599;1,03292;17;1,70998771647549
1117;0,455088;2,23923;2,11104;1,06072;0,463659;0,451842;1,02615;0,556653;1,81945;1,78048;1,02189;0,571567;0,554834;1,03016;0,574239;1,76217;1,75195;1,00584;0,577942;0,571232;1,01175;0,604387;1,67194;1,66334;1,00517;0,613328;0,602343;1,01824;0,400471;2,51711;2,2757;1,10608;0,411143;0,396709;1,03638;0,372884;2,69628;2,41105;1,1183;0,384504;0,369304;1,04116;13;-2,87185342814138
1119;0,469391;2,16876;2,07036;1,04753;0,47665;0,465761;1,02338;0,596181;1,69557;1,6539;1,0252;0,616868;0,596089;1,03486;0,617104;1,63659;1,62853;1,00495;0,626174;0,615167;1,01789;0,62647;1,6115;1,5973;1,00889;0,642547;0,626063;1,02633;0,429076;2,34043;2,15532;1,08588;0,443793;0,425638;1,04265;0,378842;2,64881;2,39949;1,1039;0,394686;0,376003;1,04969;19;1,96446428262487
1120;0,480476;2,11688;2,01186;1,0522;0,493395;0,478354;1,03144;0,609297;1,65811;1,62417;1,0209;0,629243;0,60879;1,0336;0,611403;1,65225;1,64231;1,00605;0,621241;0,609649;1,01901;0,645196;1,56357;1,55356;1,00644;0,660178;0,64429;1,02466;0,430387;2,34023;2,1487;1,08914;0,44628;0,428189;1,04225;0,387612;2,58464;2,35124;1,09927;0,400809;0,384254;1,04308;18;0,964464282624866
1133;0,412664;2,47986;2,38735;1,03875;0,410715;0,408141;1,00631;0,399243;2,56476;2,42148;1,05917;0,399672;0,395164;1,01141;0,495924;2,05005;2,03606;1,00687;0,490734;0,491345;0,998755;0,442293;2,30788;2,2659;1,01853;0,43963;0,438004;1,00371;0,358646;2,84661;2,61576;1,08825;0,358747;0,353687;1,0143;0,31992;3,16455;2,86164;1,10585;0,318506;0,314031;1,01425;17;-1,19921800660889
1134;0,395692;2,58981;2,4953;1,03787;0,392169;0,390319;1,00474;0,380883;2,69272;2,5437;1,05859;0,377914;0,375341;1,00686;0,491556;2,06831;2,054;1,00697;0,485802;0,486857;0,997832;0,424806;2,40572;2,36429;1,01753;0,418845;0,419387;0,998707;0,34886;2,92281;2,66612;1,09628;0,346873;0,342924;1,01152;0,319974;3,15029;2,81233;1,12017;0,321617;0,314082;1,02399;15;-3,19921800660889
1141;0,49157;2,0679;1,92786;1,07264;0,500926;0,48845;1,02554;0,474171;2,14245;1,95954;1,09334;0,487756;0,472009;1,03336;0,54798;1,84909;1,82729;1,01193;0,548726;0,544615;1,00755;0,514467;1,97332;1,88629;1,04614;0,523497;0,512261;1,02193;0,446694;2,2624;2,02324;1,11821;0,462317;0,444461;1,04018;0,394807;2,54027;2,20768;1,15065;0,412304;0,392556;1,0503;11;-7,19921800660889
